effective_from,effective_to,ticker
2004-01-01,2009-12-31,AAPL
2004-01-01,2009-12-31,ADBE
2004-01-01,2009-12-31,ADI
2004-01-01,2009-12-31,ADP
2004-01-01,2009-12-31,ADSK
2004-01-01,2009-12-31,AMAT
2004-01-01,2009-12-31,AMGN
2004-01-01,2009-12-31,BIIB
2004-01-01,2009-12-31,CHKP
2004-01-01,2009-12-31,CMCSA
2004-01-01,2009-12-31,COST
2004-01-01,2009-12-31,CSCO
2004-01-01,2009-12-31,CTAS
2004-01-01,2009-12-31,EBAY
2004-01-01,2009-12-31,EXPD
2004-01-01,2009-12-31,FAST
2004-01-01,2009-12-31,GILD
2004-01-01,2009-12-31,IDXX
2004-01-01,2009-12-31,ILMN
2004-01-01,2009-12-31,INTC
2004-01-01,2009-12-31,INTU
2004-01-01,2009-12-31,ISRG
2004-01-01,2009-12-31,KLAC
2004-01-01,2009-12-31,LRCX
2004-01-01,2009-12-31,MCHP
2004-01-01,2009-12-31,MSFT
2004-01-01,2009-12-31,MU
2004-01-01,2009-12-31,NFLX
2004-01-01,2009-12-31,NVDA
2004-01-01,2009-12-31,ORCL
2004-01-01,2009-12-31,PAYX
2004-01-01,2009-12-31,QCOM
2004-01-01,2009-12-31,ROST
2004-01-01,2009-12-31,SBUX
2004-01-01,2009-12-31,SWKS
2004-01-01,2009-12-31,TXN
2004-01-01,2009-12-31,VRTX
2004-01-01,2009-12-31,WDC
2010-01-01,2012-12-31,AAPL
2010-01-01,2012-12-31,ADBE
2010-01-01,2012-12-31,ADI
2010-01-01,2012-12-31,ADP
2010-01-01,2012-12-31,AMAT
2010-01-01,2012-12-31,AMGN
2010-01-01,2012-12-31,AMZN
2010-01-01,2012-12-31,BIIB
2010-01-01,2012-12-31,CHKP
2010-01-01,2012-12-31,CMCSA
2010-01-01,2012-12-31,COST
2010-01-01,2012-12-31,CSCO
2010-01-01,2012-12-31,CTAS
2010-01-01,2012-12-31,EBAY
2010-01-01,2012-12-31,EXPD
2010-01-01,2012-12-31,FAST
2010-01-01,2012-12-31,GILD
2010-01-01,2012-12-31,GOOG
2010-01-01,2012-12-31,GOOGL
2010-01-01,2012-12-31,IDXX
2010-01-01,2012-12-31,ILMN
2010-01-01,2012-12-31,INTC
2010-01-01,2012-12-31,INTU
2010-01-01,2012-12-31,ISRG
2010-01-01,2012-12-31,KLAC
2010-01-01,2012-12-31,LRCX
2010-01-01,2012-12-31,MCHP
2010-01-01,2012-12-31,MSFT
2010-01-01,2012-12-31,MU
2010-01-01,2012-12-31,NFLX
2010-01-01,2012-12-31,NVDA
2010-01-01,2012-12-31,ORCL
2010-01-01,2012-12-31,PAYX
2010-01-01,2012-12-31,QCOM
2010-01-01,2012-12-31,ROST
2010-01-01,2012-12-31,SBUX
2010-01-01,2012-12-31,TXN
2010-01-01,2012-12-31,VRTX
2013-01-01,2019-12-31,AAPL
2013-01-01,2019-12-31,ADBE
2013-01-01,2019-12-31,ADI
2013-01-01,2019-12-31,ADP
2013-01-01,2019-12-31,AMAT
2013-01-01,2019-12-31,AMGN
2013-01-01,2019-12-31,AMZN
2013-01-01,2019-12-31,BIIB
2013-01-01,2019-12-31,BKNG
2013-01-01,2019-12-31,CDNS
2013-01-01,2019-12-31,CHKP
2013-01-01,2019-12-31,CMCSA
2013-01-01,2019-12-31,COST
2013-01-01,2019-12-31,CSCO
2013-01-01,2019-12-31,CTAS
2013-01-01,2019-12-31,EXPD
2013-01-01,2019-12-31,FAST
2013-01-01,2019-12-31,GILD
2013-01-01,2019-12-31,GOOG
2013-01-01,2019-12-31,GOOGL
2013-01-01,2019-12-31,IDXX
2013-01-01,2019-12-31,ILMN
2013-01-01,2019-12-31,INTC
2013-01-01,2019-12-31,INTU
2013-01-01,2019-12-31,ISRG
2013-01-01,2019-12-31,KLAC
2013-01-01,2019-12-31,LRCX
2013-01-01,2019-12-31,MCHP
2013-01-01,2019-12-31,META
2013-01-01,2019-12-31,MSFT
2013-01-01,2019-12-31,MU
2013-01-01,2019-12-31,NFLX
2013-01-01,2019-12-31,NVDA
2013-01-01,2019-12-31,ORLY
2013-01-01,2019-12-31,PAYX
2013-01-01,2019-12-31,PYPL
2013-01-01,2019-12-31,QCOM
2013-01-01,2019-12-31,SBUX
2013-01-01,2019-12-31,TSLA
2013-01-01,2019-12-31,TXN
2013-01-01,2019-12-31,VRTX
2020-01-01,2099-12-31,AAPL
2020-01-01,2099-12-31,ADBE
2020-01-01,2099-12-31,ADI
2020-01-01,2099-12-31,AMAT
2020-01-01,2099-12-31,AMD
2020-01-01,2099-12-31,AMGN
2020-01-01,2099-12-31,AMZN
2020-01-01,2099-12-31,ASML
2020-01-01,2099-12-31,AVGO
2020-01-01,2099-12-31,AZN
2020-01-01,2099-12-31,BKNG
2020-01-01,2099-12-31,CDNS
2020-01-01,2099-12-31,CMCSA
2020-01-01,2099-12-31,COST
2020-01-01,2099-12-31,CSCO
2020-01-01,2099-12-31,CTAS
2020-01-01,2099-12-31,FTNT
2020-01-01,2099-12-31,GILD
2020-01-01,2099-12-31,GOOG
2020-01-01,2099-12-31,GOOGL
2020-01-01,2099-12-31,HON
2020-01-01,2099-12-31,IDXX
2020-01-01,2099-12-31,INTU
2020-01-01,2099-12-31,ISRG
2020-01-01,2099-12-31,KLAC
2020-01-01,2099-12-31,LIN
2020-01-01,2099-12-31,LRCX
2020-01-01,2099-12-31,MAR
2020-01-01,2099-12-31,MCHP
2020-01-01,2099-12-31,MELI
2020-01-01,2099-12-31,META
2020-01-01,2099-12-31,MSFT
2020-01-01,2099-12-31,MU
2020-01-01,2099-12-31,NFLX
2020-01-01,2099-12-31,NVDA
2020-01-01,2099-12-31,ORLY
2020-01-01,2099-12-31,PANW
2020-01-01,2099-12-31,PEP
2020-01-01,2099-12-31,PYPL
2020-01-01,2099-12-31,QCOM
2020-01-01,2099-12-31,REGN
2020-01-01,2099-12-31,SBUX
2020-01-01,2099-12-31,SNPS
2020-01-01,2099-12-31,TXN
2020-01-01,2099-12-31,VRTX
